Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3829893,-0.09966034,163.20754716981133,-0.9307692164125351,-0.9307692164125351,1.0
30000,1.3817682,-0.1332805,198.24,-0.9392156739737473,-0.9392156739737473,1.0
40000,1.3803687,-0.1777171,166.3,-0.9338982919767752,-0.9338982919767752,1.0
50000,1.3779571,-0.20779687,160.19672131147541,-0.9370967606382985,-0.9370967606382985,1.0
60000,1.3691672,-0.2358074,189.92307692307693,-0.953846144131743,-0.953846144131743,1.0
70000,1.3565992,-0.27112624,204.40816326530611,-0.9387754983439738,-0.9387754983439738,1.0
80000,1.34689,-0.31306562,180.67857142857142,-0.9454545336690816,-0.9454545336690816,1.0
90000,1.3386036,-0.31768906,162.9344262295082,-0.9295081817468659,-0.9295081817468659,1.0
100000,1.3269631,-0.31923696,182.96226415094338,-0.9314814680428417,-0.9314814680428417,1.0
110000,1.3328886,-0.32418352,154.1076923076923,-0.9169230595231056,-0.9169230595231056,1.0
120000,1.3240045,-0.3471381,171.33898305084745,-0.9327586058141857,-0.9327586058141857,1.0
130000,1.3116105,-0.34632182,171.41379310344828,-0.929310330671483,-0.929310330671483,1.0
140000,1.3021033,-0.36428964,175.58928571428572,-0.9210526162856504,-0.9210526162856504,1.0
150000,1.3009815,-0.38387546,179.55357142857142,-0.9254545317454772,-0.9254545317454772,1.0
160000,1.2948728,-0.3764556,171.21052631578948,-0.9241379164159298,-0.9241379164159298,1.0
170000,1.2865163,-0.3710498,171.9655172413793,-0.9189655010042519,-0.9189655010042519,1.0
180000,1.2644473,-0.35302183,183.5818181818182,-0.9055555375913779,-0.9055555375913779,1.0
190000,1.2600675,-0.35296717,194.81632653061226,-0.927999986410141,-0.927999986410141,1.0
200000,1.2591584,-0.3797396,161.23809523809524,-0.919047604004542,-0.919047604004542,1.0
210000,1.257184,-0.37624434,193.76923076923077,-0.9269230629389102,-0.9269230629389102,1.0
220000,1.2425646,-0.35959476,185.77358490566039,-0.9245282872667853,-0.9245282872667853,1.0
230000,1.2374113,-0.36650184,167.1,-0.9233333172897498,-0.9233333172897498,1.0
240000,1.2233315,-0.4080666,157.40322580645162,-0.9274193389761832,-0.9274193389761832,1.0
250000,1.2224345,-0.37808958,162.9344262295082,-0.9245901477874302,-0.9245901477874302,1.0
260000,1.2210574,-0.40039137,169.89830508474577,-0.905084728436955,-0.905084728436955,1.0
270000,1.201115,-0.3841539,166.26666666666668,-0.9149999838322401,-0.9149999838322401,1.0
280000,1.1937615,-0.4001579,190.6153846153846,-0.9153845999389887,-0.9153845999389887,1.0
290000,1.1972859,-0.3793546,169.67796610169492,-0.915254220492759,-0.915254220492759,1.0
300000,1.2079928,-0.3855983,158.95,-0.919999985024333,-0.919999985024333,1.0
310000,1.1937739,-0.38928223,186.56363636363636,-0.8981818000024016,-0.8981818000024016,1.0
320000,1.1947479,-0.39050245,173.64285714285714,-0.9249999857108507,-0.9249999857108507,1.0
330000,1.1662424,-0.37275258,207.91836734693877,-0.9102040666098498,-0.9102040666098498,1.0
340000,1.1693575,-0.37007675,230.0681818181818,-0.909302310714888,-0.909302310714888,1.0
350000,1.1575786,-0.34954605,218.15555555555557,-0.9239130306826986,-0.9239130306826986,1.0
360000,1.1168807,-0.3394526,205.82978723404256,-0.9127659414042818,-0.9127659414042818,1.0
370000,1.1230844,-0.34335795,211.82978723404256,-0.8957446636037624,-0.8957446636037624,1.0
380000,1.1043247,-0.34815833,192.45283018867926,-0.9056603616138674,-0.9056603616138674,1.0
390000,1.094983,-0.33965382,201.26530612244898,-0.8938775321050566,-0.8938775321050566,1.0
400000,1.1010157,-0.30790904,279.0833333333333,-0.8972222082730796,-0.8972222082730796,1.0
410000,1.0766217,-0.32647026,224.38636363636363,-0.90227271260863,-0.90227271260863,1.0
420000,1.0733169,-0.30627584,369.3703703703704,-0.8888888789547814,-0.8888888789547814,1.0
430000,1.0633297,-0.3083944,245.65853658536585,-0.8951219349372678,-0.8951219349372678,1.0
440000,1.0734587,-0.2997894,252.51282051282053,-0.8923076775211555,-0.8923076775211555,1.0
450000,1.0594025,-0.2874523,251.075,-0.8849999831989408,-0.8849999831989408,1.0
460000,1.0535331,-0.28268346,277.57142857142856,-0.8799999809690884,-0.8799999809690884,1.0
470000,1.0493864,-0.2701351,318.78125,-0.8718749834224582,-0.8718749834224582,1.0
480000,1.0447086,-0.25917786,350.17241379310343,-0.842857124550002,-0.842857124550002,1.0
490000,1.064914,-0.27135682,287.8235294117647,-0.8799999822463308,-0.8799999822463308,1.0
500000,1.0538844,-0.27388796,242.075,-0.8974999833852053,-0.8974999833852053,1.0
